Time (s),Illuminance (lx)
0.10890380,74.0
0.22887480,87.0
0.37883830,81.0
0.59878464,80
1.306368608,94.0
0,103.00
0.26010317,107.00
0.50875674,102.00
0.74882311,67.0
0.98221056,38.0
1.210254956,32.0
1.433927683,29.0
1.683950016,27.0
1.983953708,35.0
2.275382565,65.0
2.559379898,77.0
2.836937148,86.0
3.108753148,90
3.375465814,93.0
3.637612392,100
3.895649392,109.00
4.149968249,106.00
4.400906976,93.0
4.648759497,83.0
4.893782997,89.0
5.136203797,108.00
5.376222143,110.0
5.614015957,108.00
5.849779814,102.00
6.089824641,107.00
6.327866541,109.00
6.567907941,106.00
6.807949341,101.00
7.041992207,94.0
7.264004673,88.0
7.486017139,84.0
7.708029605,83.0
7.936040605,98.0
8.164051605,116.00
8.392062605,127.00
8.620073571,129.00
8.848084537,126.00
9.064098437,124.00
9.256118203,120.0
9.448137969,115.00
9.640157735,110.0
9.832144168,106.00
10.030129170,108.00
10.22811420,110.0
10.426099170,113.00
10.624084170,115.00
10.822069170,120.0
11.020054170,122.00
11.218039170,123.00
11.416024170,130.0
11.614009170,142.00
11.811994130,148.00
12.00997910,150.0
12.21392930,145.00
12.411880970,128.00
12.60983260,110.0
12.807784230,103.00
13.005735860,108.00
13.203687530,102.00
13.40163920,101.00
13.599590860,100
13.797542530,80
13.989495690,73.0
14.181448830,76.0
14.379400490,73.0
14.583350690,78.0
14.787300890,88.0
14.991251090,98.0
15.195201290,101.00
15.399151490,108.00
15.603101690,111.00
15.807051890,109.00
16.005003530,108.00
16.202955130,110.0
16.400906760,111.00
16.598858420,109.00
16.796810090,102.00
16.994761760,98.0
17.192713420,97.0
17.390665090,98.0
17.588616760,105.00
17.786568420,116.00
17.984520090,134.00
18.176473220,207.00
18.368426350,298.00
18.560379490,383.00
18.752332620,486.00
18.944285750,586.00
19.136238850,656.00
19.328191950,700
19.520145050,827.00
19.712098150,914.00
19.904051220,1014.000
20.096004350,1165.000
20.281958950,1226.000
20.461915020,1081.000
20.641871080,1284.000
20.821827150,1375.000
21.001783220,1250.00
21.181739280,810.0
21.361695350,726.00
21.547649950,756.00
21.733604550,715.00
21.919559150,660.0
22.111512280,579.00
22.303465380,240.0
22.495418480,125.00
22.687371580,118.00
22.879324680,133.00
23.071277810,156.00
23.263230950,179.00
23.455184080,184.00
23.647137210,185.00
23.845088880,182.00
24.043040540,172.00
24.240992210,161.00
24.438943880,118.00
24.636928880,60
24.834913880,31.0
25.032898880,26.0
25.230883910,25.0
25.428868910,33.0
25.626853910,84.0
25.824838880,117.00
26.022823840,104.00
26.220808810,87.0
26.418793770,76.0
26.616778740,77.0
26.81476370,91.0
27.012748670,105.00
27.210733640,115.00
27.40272010,117.00
27.594706570,121.00
27.786693040,124.00
27.972680970,129.00
28.15866890,135.00
28.344656830,144.00
28.530644770,135.00
28.71663270,120.0
28.90262060,105.00
29.08860850,89.0
29.27459640,93.0
29.46058430,122.00
29.640573670,140.0
29.820563030,142.00
30.00055240,139.00
30.180541760,134.00
30.36049780,130.0
30.540453830,126.00
30.72040990,124.00
30.900365930,121.00
31.0803220,119.00
31.260278060,116.00
31.440234130,114.00
31.626222060,115.00
31.812209990,114.00
31.998197930,112.00
32.184185860,111.00
32.376172320,112.00
32.574157320,111.00
