steps,time
12,1737567785992902700
16,1737567788553916000
20,1737567791114295000
24,1737567793674671600
29,1737567796235047000
33,1737567798795418600
37,1737567801355788800
42,1737567803916144400
46,1737567806476488000
50,1737567809036822000
55,1737567811597150200
59,1737567814157472500
63,1737567816717792000
67,1737567819278109400
71,1737567821838434800
76,1737567824398762200
80,1737567826959083500
84,1737567829519402200
87,1737567832079718100
92,1737567834640032300
97,1737567837200345600
101,1737567839760659000
106,1737567842320971500
108,1737567844881286700
112,1737567847441605000
116,1737567850001922000
122,1737567852562236000
126,1737567855122547200
131,1737567857682854700
135,1737567860243159800
140,1737567862803464000
144,1737567865363766000
149,1737567867924064800
153,1737567870484359700
158,1737567873044650500
162,1737567875604939800
167,1737567878165227800
171,1737567880725509600
176,1737567883285791500
180,1737567885846070800
185,1737567888406348500
189,1737567890966625300
194,1737567893526901800
199,1737567896087178200
203,1737567898647455200
207,1737567901207733800
212,1737567903768011800
216,1737567906328290600
221,1737567908888568300
226,1737567911448845300
230,1737567914009122800
235,1737567916569399000
238,1737567919129676800
244,1737567921689954000
248,1737567924250231800
252,1737567926810510600
256,1737567929370792000
260,1737567931931075600
265,1737567934491360300
267,1737567937051646200
271,1737567939611933200
276,1737567942172216000
280,1737567944732496400
285,1737567947292780500
289,1737567949853067800
293,1737567952413353500
298,1737567954973634000
302,1737567957533911300
307,1737567960094185700
311,1737567962654459400
317,1737567965214733000
322,1737567967775005400
326,1737567970335278000
330,1737567972895551700
336,1737567975455826700
341,1737567978016102100
345,1737567980576381000
350,1737567983136660200
355,1737567985696939000
359,1737567988257211600
364,1737567990817479200
369,1737567993377739000
374,1737567995937996000
379,1737567998498249500
383,1737568001058498800
388,1737568003618745900
393,1737568006178992000
398,1737568008739242000
402,1737568011299491300
407,1737568013859743200
412,1737568016419992300
417,1737568018980244200
422,1737568021540498200
427,1737568024100750000
431,1737568026661000200
436,1737568029221250000
441,1737568031781499400
446,1737568034341749200
451,1737568036901996500
455,1737568039462243600
460,1737568042022494000
465,1737568044582744000
470,1737568047142991600
475,1737568049703240400
479,1737568052263491000
484,1737568054823740400
489,1737568057383988700
494,1737568059944235300
499,1737568062504480500
503,1737568065064722200
508,1737568067624956700
513,1737568070185185800
518,1737568072745408800
523,1737568075305627100
528,1737568077865839000
532,1737568080426047200
537,1737568082986252300
542,1737568085546455300
547,1737568088106655500
552,1737568090666853600
557,1737568093227049500
561,1737568095787242500
567,1737568098347433500
572,1737568100907623200
576,1737568103467811600
581,1737568106027997000
586,1737568108588181000
590,1737568111148364000
595,1737568113708545000
600,1737568116268726800
604,1737568118828906000
609,1737568121389084400
614,1737568123949260300
619,1737568126509436200
623,1737568129069608200
628,1737568131629778400
633,1737568134189948700
638,1737568136750116600
642,1737568139310283000
647,1737568141870447400
651,1737568144430610400
656,1737568146990774500
661,1737568149550937900
666,1737568152111101200
670,1737568154671265500
675,1737568157231433000
680,1737568159791601000
685,1737568162351767600
690,1737568164911933000
695,1737568167472099300
700,1737568170032272100
705,1737568172592441600
710,1737568175152605400
715,1737568177712764700
719,1737568180272919800
724,1737568182833073200
729,1737568185393223400
734,1737568187953372400
739,1737568190513518800
744,1737568193073663200
749,1737568195633808600
753,1737568198193955800
